model number,model name,time taken to optimise (in seconds),number of partitions,partition size
0,model_with_separate_variables_0,0.0002751350402832031,20,10
1,model_with_separate_variables_1,0.0002372264862060547,20,10
2,model_with_separate_variables_2,0.00022411346435546875,20,10
3,model_with_separate_variables_3,0.00023794174194335938,20,10
4,model_with_separate_variables_4,0.0002200603485107422,20,10
5,model_with_separate_variables_5,0.00022101402282714844,20,10
6,model_with_separate_variables_6,0.0002040863037109375,20,10
7,model_with_separate_variables_7,0.00021910667419433594,20,10
8,model_with_separate_variables_8,0.0002110004425048828,20,10
9,model_with_separate_variables_9,0.00020003318786621094,20,10
10,model_with_separate_variables_10,0.0002090930938720703,20,10
11,model_with_separate_variables_11,0.00020503997802734375,20,10
12,model_with_separate_variables_12,0.000202178955078125,20,10
13,model_with_separate_variables_13,0.00021409988403320312,20,10
14,model_with_separate_variables_14,0.00021004676818847656,20,10
15,model_with_separate_variables_15,0.00021004676818847656,20,10
16,model_with_separate_variables_16,0.0002090930938720703,20,10
17,model_with_separate_variables_17,0.000209808349609375,20,10
18,model_with_separate_variables_18,0.000209808349609375,20,10
19,model_with_separate_variables_19,0.000209808349609375,20,10
20,model_with_separate_variables_20,0.0002110004425048828,20,10
21,model_with_separate_variables_21,0.00021219253540039062,20,10
22,model_with_separate_variables_22,0.00020074844360351562,20,10
23,model_with_separate_variables_23,0.00021195411682128906,20,10
24,model_with_separate_variables_24,0.00020813941955566406,20,10
0,model_with_pwl_costs_0,0.00014495849609375,20,10
1,model_with_pwl_costs_1,0.0001220703125,20,10
2,model_with_pwl_costs_2,0.00011801719665527344,20,10
3,model_with_pwl_costs_3,0.00011897087097167969,20,10
4,model_with_pwl_costs_4,0.00011920928955078125,20,10
5,model_with_pwl_costs_5,0.00011801719665527344,20,10
6,model_with_pwl_costs_6,0.00012493133544921875,20,10
7,model_with_pwl_costs_7,0.00011992454528808594,20,10
8,model_with_pwl_costs_8,0.00011515617370605469,20,10
9,model_with_pwl_costs_9,0.0001068115234375,20,10
10,model_with_pwl_costs_10,0.00011610984802246094,20,10
11,model_with_pwl_costs_11,0.00010895729064941406,20,10
12,model_with_pwl_costs_12,0.00011110305786132812,20,10
13,model_with_pwl_costs_13,0.00011420249938964844,20,10
14,model_with_pwl_costs_14,0.00011610984802246094,20,10
15,model_with_pwl_costs_15,0.00011491775512695312,20,10
16,model_with_pwl_costs_16,0.00011277198791503906,20,10
17,model_with_pwl_costs_17,0.00011491775512695312,20,10
18,model_with_pwl_costs_18,0.00012183189392089844,20,10
19,model_with_pwl_costs_19,0.0001201629638671875,20,10
20,model_with_pwl_costs_20,0.00011801719665527344,20,10
21,model_with_pwl_costs_21,0.0001201629638671875,20,10
22,model_with_pwl_costs_22,0.00011205673217773438,20,10
23,model_with_pwl_costs_23,0.00011801719665527344,20,10
24,model_with_pwl_costs_24,0.0001277923583984375,20,10
0,model_with_separate_variables_0,0.0006120204925537109,50,10
1,model_with_separate_variables_1,0.0005462169647216797,50,10
2,model_with_separate_variables_2,0.0005249977111816406,50,10
3,model_with_separate_variables_3,0.0005240440368652344,50,10
4,model_with_separate_variables_4,0.0005362033843994141,50,10
5,model_with_separate_variables_5,0.0005381107330322266,50,10
6,model_with_separate_variables_6,0.0005629062652587891,50,10
7,model_with_separate_variables_7,0.0005309581756591797,50,10
8,model_with_separate_variables_8,0.0005311965942382812,50,10
9,model_with_separate_variables_9,0.0005209445953369141,50,10
10,model_with_separate_variables_10,0.0005209445953369141,50,10
11,model_with_separate_variables_11,0.0005321502685546875,50,10
12,model_with_separate_variables_12,0.0005450248718261719,50,10
13,model_with_separate_variables_13,0.0005280971527099609,50,10
14,model_with_separate_variables_14,0.0005269050598144531,50,10
15,model_with_separate_variables_15,0.0005161762237548828,50,10
16,model_with_separate_variables_16,0.0005278587341308594,50,10
17,model_with_separate_variables_17,0.0005261898040771484,50,10
18,model_with_separate_variables_18,0.0005578994750976562,50,10
19,model_with_separate_variables_19,0.0005481243133544922,50,10
20,model_with_separate_variables_20,0.0005559921264648438,50,10
21,model_with_separate_variables_21,0.0005588531494140625,50,10
22,model_with_separate_variables_22,0.00055694580078125,50,10
23,model_with_separate_variables_23,0.0005619525909423828,50,10
24,model_with_separate_variables_24,0.0005440711975097656,50,10
0,model_with_pwl_costs_0,0.00017595291137695312,50,10
1,model_with_pwl_costs_1,0.00017595291137695312,50,10
2,model_with_pwl_costs_2,0.00016570091247558594,50,10
3,model_with_pwl_costs_3,0.0001709461212158203,50,10
4,model_with_pwl_costs_4,0.0001728534698486328,50,10
5,model_with_pwl_costs_5,0.00017404556274414062,50,10
6,model_with_pwl_costs_6,0.00017786026000976562,50,10
7,model_with_pwl_costs_7,0.0001628398895263672,50,10
8,model_with_pwl_costs_8,0.00016689300537109375,50,10
9,model_with_pwl_costs_9,0.0001647472381591797,50,10
10,model_with_pwl_costs_10,0.00016307830810546875,50,10
11,model_with_pwl_costs_11,0.0001659393310546875,50,10
12,model_with_pwl_costs_12,0.00017213821411132812,50,10
13,model_with_pwl_costs_13,0.0001780986785888672,50,10
14,model_with_pwl_costs_14,0.00016498565673828125,50,10
15,model_with_pwl_costs_15,0.0001709461212158203,50,10
16,model_with_pwl_costs_16,0.00017976760864257812,50,10
17,model_with_pwl_costs_17,0.00016880035400390625,50,10
18,model_with_pwl_costs_18,0.0001671314239501953,50,10
19,model_with_pwl_costs_19,0.0001690387725830078,50,10
20,model_with_pwl_costs_20,0.00017595291137695312,50,10
21,model_with_pwl_costs_21,0.00017309188842773438,50,10
22,model_with_pwl_costs_22,0.00015616416931152344,50,10
23,model_with_pwl_costs_23,0.00015807151794433594,50,10
24,model_with_pwl_costs_24,0.00016689300537109375,50,10
0,model_with_separate_variables_0,0.0010576248168945312,100,10
1,model_with_separate_variables_1,0.0009903907775878906,100,10
2,model_with_separate_variables_2,0.0009799003601074219,100,10
3,model_with_separate_variables_3,0.0009927749633789062,100,10
4,model_with_separate_variables_4,0.0009829998016357422,100,10
5,model_with_separate_variables_5,0.0009999275207519531,100,10
6,model_with_separate_variables_6,0.0009827613830566406,100,10
7,model_with_separate_variables_7,0.0009868144989013672,100,10
8,model_with_separate_variables_8,0.0009627342224121094,100,10
9,model_with_separate_variables_9,0.0010399818420410156,100,10
10,model_with_separate_variables_10,0.0010123252868652344,100,10
11,model_with_separate_variables_11,0.001043081283569336,100,10
12,model_with_separate_variables_12,0.0010411739349365234,100,10
13,model_with_separate_variables_13,0.0010330677032470703,100,10
14,model_with_separate_variables_14,0.0010449886322021484,100,10
15,model_with_separate_variables_15,0.0010349750518798828,100,10
16,model_with_separate_variables_16,0.0010411739349365234,100,10
17,model_with_separate_variables_17,0.001043081283569336,100,10
18,model_with_separate_variables_18,0.0010409355163574219,100,10
19,model_with_separate_variables_19,0.0010230541229248047,100,10
20,model_with_separate_variables_20,0.001004934310913086,100,10
21,model_with_separate_variables_21,0.0009801387786865234,100,10
22,model_with_separate_variables_22,0.000982046127319336,100,10
23,model_with_separate_variables_23,0.0009877681732177734,100,10
24,model_with_separate_variables_24,0.0009641647338867188,100,10
0,model_with_pwl_costs_0,0.0002770423889160156,100,10
1,model_with_pwl_costs_1,0.00028204917907714844,100,10
2,model_with_pwl_costs_2,0.00027370452880859375,100,10
3,model_with_pwl_costs_3,0.00024008750915527344,100,10
4,model_with_pwl_costs_4,0.0003001689910888672,100,10
5,model_with_pwl_costs_5,0.00030493736267089844,100,10
6,model_with_pwl_costs_6,0.0003082752227783203,100,10
7,model_with_pwl_costs_7,0.0002770423889160156,100,10
8,model_with_pwl_costs_8,0.0002791881561279297,100,10
